index,CPD.sal,CPD.T,CPDDO,CPS.sal,CPS.T,CPSDO,RSD.sal,RSD.T,RSDDO,RSS.sal,RSS.T,RSSDO,MDD.sal,MDD.T,MDDDO,MDS.sal,MDSDO,MDS.T,week
6/13/2016 14:30,30.8988,15.27,11.1,21.9347,16.91,9.155256,0.0123,16.07,8.52,0,19.16,8.58,,19.94,9.07,27.3034,9.32,19.73,1
6/13/2016 14:45,30.8612,15.38,11,22.8084,16.97,9.155256,0.0123,16.07,8.52,0,19.16,8.58,,19.4,9.36,27.1868,9.53,20.09,1
6/13/2016 15:00,30.8269,15.43,10.98,23.1854,16.97,9.164262,0.0123,16.07,8.54,0,19.16,8.58,,19.12,9.46,27.2462,9.54,20.14,1
6/13/2016 15:15,30.7646,15.46,11.08,28.1183,16.95,9.14625,0.0123,16.07,8.5,32.7698,19.16,8.58,,19.12,9.36,27.2994,9.49,20.01,1
6/13/2016 15:30,30.7412,15.49,10.87,28.1089,16.83,9.137244,0.0123,16.07,8.48,32.0876,18.22,8.89,,19.34,9.58,27.4092,9.57,19.85,1
6/13/2016 15:45,30.6307,15.52,10.76,28.1205,16.88,9.051687,0.0123,16.07,8.29,31.7431,18.16,8.99,,19.36,9.64,27.3976,9.56,19.83,1
6/13/2016 16:00,30.6229,15.53,10.91,27.9139,17.02,9.55152,30.0127,16.07,9.4,31.6066,18.18,9.04,,19.38,9.06,27.5375,9.66,19.71,1
6/13/2016 16:15,30.5921,15.52,11.02,27.9267,17.05,9.64158,29.651,16.07,9.6,31.5268,18.22,9.13,,19.42,9.68,27.6005,9.66,19.68,1
6/13/2016 16:30,30.6831,15.31,10.76,27.7809,17.25,9.64158,29.4629,16.06,9.6,31.3852,18.24,9.14,,19.44,9.78,27.574,9.76,19.73,1
6/13/2016 16:45,30.7195,15.14,10.7,27.5904,17.28,9.664095,29.2663,16.19,9.65,31.3561,18.26,9.09,,19.48,9.76,27.5984,9.73,19.74,1
6/13/2016 17:00,31.0226,13.84,10.69,28.0396,17.32,9.587544,29.0955,16.32,9.48,31.3193,18.3,9.12,,19.54,9.77,27.5859,9.69,19.74,1
6/13/2016 17:15,31.1705,13.41,10.83,27.9421,17.4,9.583041,28.9121,16.3,9.47,31.2287,18.32,9.15,,19.54,9.76,27.6295,9.75,19.74,1
6/13/2016 17:30,31.1625,13.25,10.95,27.8831,17.56,9.529005,28.7839,16.38,9.35,31.0958,18.34,9.21,,19.56,9.75,27.6796,9.63,19.73,1
