CageID,Site,depth,sitedepth,Week,1,2,3,4,5,6,7,8,9,10,num_dead,survivors,deaths,av_length,SD,Survival1,Survival0
CPD1,CP,deep,CPD,0,34,35,36,36,37,39,42,43,44,47,0,10,0,39.3,4.196427052,1,1
CPD1,CP,deep,CPD,1,32,36,37,37,38,39,41,42,49,50,0,10,0,40.1,5.37494186,1,1
CPD1,CP,deep,CPD,2,29,37,42,44,47,49,52,53,54,55,0,10,0,46.2,7.93473377,1,1
CPD1,CP,deep,CPD,3,35,38,46,47,48,49,55,57,60,62,0,10,0,49.7,8.462269199,1,1
CPD1,CP,deep,CPD,4,42,49,49,51,53,55,58,66,66,,1,9,1,54.33333333,7.51295178,0.9,0.9
CPD1,CP,deep,CPD,5,40,53,54,55,64,64,65,66,72,,1,9,0,59.22222222,9.077172562,0.9,0.9
CPD1,CP,deep,CPD,6,45,48,55,55,57,57,68,69,,,2,8,1,56.75,7.885905148,0.8,0.8
CPD1,CP,deep,CPD,7,50,51,53,54,59,60,79,,,,3,7,1,58,9.258200998,0.7,0.7
CPD1,CP,deep,CPD,8,50,59,60,63,64,66,83,,,,3,7,0,63.57142857,9.271417565,0.7,0.7
CPD1,CP,deep,CPD,9,59,59,67,69,71,85,,,,,4,6,1,68.33333333,8.768630959,0.6,0.6
CPD1,CP,deep,CPD,10,60,67,69,71,75,84,,,,,4,6,0,71,7.371114796,0.6,0.6
CPD1,CP,deep,CPD,11,58,68,73,74,,,,,,,6,4,2,68.25,6.339361167,0.4,0.4
CPD2,CP,deep,CPD,0,31,31,34,34,37,37,37,37,41,42,0,10,0,36.1,3.505709629,1.25,1
CPD2,CP,deep,CPD,1,24,31,31,34,37,37,42,47,,,2,8,2,35.375,6.650892797,1,0.8
CPD2,CP,deep,CPD,2,40,41,43,46,47,52,,,,,4,6,2,44.83333333,4.058598554,0.75,0.6
CPD2,CP,deep,CPD,3,51,52,53,55,57,,,,,,5,5,1,53.6,2.154065923,0.625,0.5
CPD2,CP,deep,CPD,4,48,54,57,58,,,,,,,6,4,1,54.25,3.897114317,0.5,0.4
CPD2,CP,deep,CPD,5,45,53,55,61,,,,,,,6,4,0,53.5,5.722761571,0.5,0.4
CPD2,CP,deep,CPD,6,56,63,68,,,,,,,,7,3,1,62.33333333,4.921607687,0.375,0.3
CPD2,CP,deep,CPD,7,62,72,77,,,,,,,,7,3,0,70.33333333,6.236095645,0.375,0.3
CPD2,CP,deep,CPD,8,66,73,75,,,,,,,,7,3,0,71.33333333,3.858612301,0.375,0.3
CPD2,CP,deep,CPD,9,84,85,,,,,,,,,8,2,1,84.5,0.5,0.25,0.2
CPD2,CP,deep,CPD,10,81,90,,,,,,,,,8,2,0,85.5,4.5,0.25,0.2
CPD2,CP,deep,CPD,11,,,,,,,,,,,10,0,2,,,0,0
CPD3,CP,deep,CPD,0,29,30,33,34,36,37,38,39,40,42,0,10,0,35.8,4.044749683,1.111111111,1
CPD3,CP,deep,CPD,1,32,34,34,35,36,37,38,39,43,,1,9,1,36.44444444,3.095197395,1,0.9
CPD3,CP,deep,CPD,2,30,40,38,40,41,45,50,52,57,,1,9,0,43.66666667,7.760297818,1,0.9
CPD3,CP,deep,CPD,3,44,46,46,49,56,57,60,61,62,,1,9,0,53.44444444,6.767752148,1,0.9
CPD3,CP,deep,CPD,4,51,54,56,62,63,65,66,67,,,2,8,1,60.5,5.634713835,0.888888889,0.8
CPD3,CP,deep,CPD,5,53,54,56,56,56,62,65,70,,,2,8,0,59,5.634713835,0.888888889,0.8
CPD3,CP,deep,CPD,6,54,55,60,61,63,71,74,74,,,2,8,0,64,7.549834435,0.888888889,0.8
