CageID,Site,depth,sitedepth,Week,1,2,3,4,5,6,7,8,9,10,survivors,avlength,SD
MD1,M,deep,MD,0,28,32,35,37,40,43,45,45,54,57,10,41.6,8.720091743
MD1,M,deep,MD,1,27,37,35,38,43,44,47,50,55,57,10,43.3,8.866228059
MD1,M,deep,MD,2,32,37,35,43,45,46,48,50,53,57,10,44.6,7.605261337
MD1,M,deep,MD,3,37,42,43,46,49,51,58,60,68,69,10,52.3,10.46947945
MD1,M,deep,MD,4,37,39,42,55,55,57,63,76,81,0,10,50.5,21.80940164
MD1,M,deep,MD,5,43,45,50,61,65,70,73,75,,,8,60.25,11.90325586
MD1,M,deep,MD,6,48,50,59,61,66,69,69,75,,,8,62.125,8.894345114
MD1,M,deep,MD,7,45,52,53,67,70,71,72,72,,,8,62.75,10.21946672
MD1,M,deep,MD,8,51,56,62,70,74,79,79,84,,,8,69.375,11.13482712
MD1,M,deep,MD,9,50,59,61,64,71,73,74,81,,,8,66.625,9.313129173
MD1,M,deep,MD,10,53,60,62,77,80,80,,,,,6,68.66666667,10.73416146
MD1,M,deep,MD,11,55,60,71,82,84,85,,,,,6,72.83333333,11.8520978
MD2,M,deep,MD,0,30,33,33,41,46,47,48,52,55,55,10,44,8.843076388
MD2,M,deep,MD,1,22,28,45,47,47,54,59,60,,,8,45.25,12.88167303
MD2,M,deep,MD,2,25,45,49,52,60,61,61,,,,7,50.42857143,11.92664655
MD2,M,deep,MD,3,28,53,55,60,61,62,69,,,,7,55.42857143,12.17558614
MD2,M,deep,MD,4,34,45,50,62,63,72,,,,,6,54.33333333,12.68419839
MD2,M,deep,MD,5,40,64,66,66,76,79,,,,,6,65.16666667,12.54879366
MD2,M,deep,MD,6,44,57,66,73,75,80,,,,,6,65.83333333,12.18491782
MD2,M,deep,MD,7,41,68,75,79,79,84,,,,,6,71,14.27118309
MD2,M,deep,MD,8,49,69,77,79,84,88,,,,,6,74.33333333,12.77584526
MD2,M,deep,MD,9,78,85,87,,,,,,,,3,83.33333333,3.858612301
MD2,M,deep,MD,10,77,80,91,,,,,,,,3,82.66666667,6.018490028
MD2,M,deep,MD,11,80,92,,,,,,,,,2,86,6
MD3,M,deep,MD,0,29,32,36,45,47,48,55,56,62,66,10,47.6,11.84229707
MD3,M,deep,MD,1,40,48,49,56,59,60,60,64,,,8,54.5,7.549834435
MD3,M,deep,MD,2,31,32,36,37,38,49,63,,,,7,40.85714286,10.54823711
MD3,M,deep,MD,3,30,39,40,53,71,,,,,,5,46.6,14.23516772
MD3,M,deep,MD,4,30,45,49,67,84,,,,,,5,55,18.6868938
MD3,M,deep,MD,5,30,46,47,72,84,,,,,,5,55.8,19.47716612
MD3,M,deep,MD,6,40,52,52,64,85,,,,,,5,58.6,15.22629305
MD3,M,deep,MD,7,51,65,85,,,,,,,,3,67,13.95229969
MD3,M,deep,MD,8,58,76,80,,,,,,,,3,71.33333333,9.56846673
