cage.week,day,month,year,time,index,MDDO,MDTemp.c,MD.sal,MSTemp.d,MS.sal,MSDO,index,ND.sal,NDTemp,NDDO,NSTemp.d,NSDO,NS.sal,SDDO,SDTemp.c,SD.sal,SSDO,SSTemp.c,ss.sal.new
0,6,9,2017,14:45,6/9/2017 14:45,0,16.04,31.0419,0,0,0,6/9/2017 14:45,31.1707,16.04,0,0,0,30.4395,0,0,0,0,0,0
0,6,9,2017,15:00,6/9/2017 15:00,0,16.18,30.8156,0,0,0,6/9/2017 15:00,31.1341,16.11,0,0,0,29.8432,0,0,0,0,0,0
0,6,9,2017,15:15,6/9/2017 15:15,0,16.1,30.817,0,0,0,6/9/2017 15:15,31.1236,16.18,0,0,0,29.7156,0,0,0,0,0,0
0,6,9,2017,15:30,6/9/2017 15:30,0,16.48,30.6001,0,0,0,6/9/2017 15:30,31.0847,16.25,0,0,0,29.5513,0,0,0,0,17.62,28.2827
0,6,9,2017,15:45,6/9/2017 15:45,0,16.28,30.7435,0,0,0,6/9/2017 15:45,31.0247,16.34,0,0,0,29.3441,0,0,0,0,17.63,27.4083
0,6,9,2017,16:00,6/9/2017 16:00,0,16.42,30.7623,0,0,0,6/9/2017 16:00,30.9778,16.44,0,0,0,29.2437,0,16.69,31.078,0,17.38,27.3895
0,6,9,2017,16:15,6/9/2017 16:15,0,16.38,30.7822,0,0,0,6/9/2017 16:15,31.0413,16.41,0,0,0,29.1081,0,16.73,31.0365,0,17.35,27.2906
0,6,9,2017,16:30,6/9/2017 16:30,0,16.43,30.7103,0,0,0,6/9/2017 16:30,30.8395,16.88,0,0,0,28.9292,0,16.71,31.0523,0,17.39,27.2503
0,6,9,2017,16:45,6/9/2017 16:45,0,16.58,30.7053,0,0,0,6/9/2017 16:45,30.8065,16.95,0,0,0,28.9354,0,16.74,31.0292,0,17.38,27.2866
0,6,9,2017,17:00,6/9/2017 17:00,0,16.52,30.7183,0,0,0,6/9/2017 17:00,30.8829,16.83,0,0,0,29.1373,0,16.81,31.0071,0,17.4,27.2933
0,6,9,2017,17:15,6/9/2017 17:15,0,16.57,30.6632,0,0,0,6/9/2017 17:15,30.9302,16.91,0,0,0,28.796,0,16.88,30.9994,0,17.38,27.3654
0,6,9,2017,17:30,6/9/2017 17:30,0,16.5,30.7004,0,0,0,6/9/2017 17:30,30.9101,17.01,0,0,0,28.8153,0,16.93,30.9716,0,17.16,27.4918
0,6,9,2017,17:45,6/9/2017 17:45,0,16.57,30.7075,0,0,0,6/9/2017 17:45,31.0213,16.72,0,0,0,28.7798,0,16.94,30.9392,0,17.09,27.5601
0,6,9,2017,18:00,6/9/2017 18:00,0,16.54,30.725,0,0,0,6/9/2017 18:00,31.0698,16.58,0,0,0,29.1155,0,17,30.9501,0,17.12,27.6476
0,6,9,2017,18:15,6/9/2017 18:15,0,16.57,30.7685,0,0,0,6/9/2017 18:15,31.0548,16.63,0,0,0,29.1724,0,17.08,30.8886,0,17.16,27.7832
0,6,9,2017,18:30,6/9/2017 18:30,0,16.67,30.697,0,0,0,6/9/2017 18:30,31.0427,16.62,0,0,0,28.9887,0,17.27,30.8071,0,17.24,27.9277
0,6,9,2017,18:45,6/9/2017 18:45,0,16.78,30.6737,0,0,0,6/9/2017 18:45,31.0675,16.56,0,0,0,28.9519,0,16.03,31.5006,0,17.32,28.1253
0,6,9,2017,19:00,6/9/2017 19:00,0,16.74,30.6765,0,0,0,6/9/2017 19:00,31.0423,16.58,0,0,0,28.895,0,15.75,31.6422,0,17.43,28.3366
0,6,9,2017,19:15,6/9/2017 19:15,0,16.7,30.7239,0,0,0,6/9/2017 19:15,31.0116,16.63,0,0,0,29.3417,0,15.41,31.7945,0,17.46,28.5458
0,6,9,2017,19:30,6/9/2017 19:30,0,16.59,30.7976,0,0,0,6/9/2017 19:30,31.0018,16.67,0,0,0,29.5984,0,15.22,31.899,0,17.49,28.6469
0,6,9,2017,19:45,6/9/2017 19:45,0,16.69,30.7428,0,0,0,6/9/2017 19:45,30.9947,16.72,0,0,0,29.7202,0,14.89,32.0618,0,17.55,28.6161
0,6,9,2017,20:00,6/9/2017 20:00,0,16.71,30.7831,0,0,0,6/9/2017 20:00,30.9538,16.77,0,0,0,29.8575,0,14.85,32.0516,0,16.7,29.1527
0,6,9,2017,20:15,6/9/2017 20:15,0,16.67,30.7972,0,0,0,6/9/2017 20:15,30.9258,16.84,0,0,0,29.9365,0,15.1,31.9256,0,16.39,29.4629
0,6,9,2017,20:30,6/9/2017 20:30,0,16.55,30.8565,0,0,0,6/9/2017 20:30,30.9425,16.79,0,0,0,29.9773,0,15.18,31.9183,0,16.1,29.6966
0,6,9,2017,20:45,6/9/2017 20:45,0,16.57,30.8187,0,0,0,6/9/2017 20:45,30.9851,16.8,0,0,0,30.0075,0,15.26,31.8639,0,16,29.839
0,6,9,2017,21:00,6/9/2017 21:00,0,16.65,30.8015,0,0,0,6/9/2017 21:00,30.9233,16.86,0,0,0,30.0095,0,15.36,31.7826,0,16,29.9847
0,6,9,2017,21:15,6/9/2017 21:15,0,16.69,30.7817,0,0,0,6/9/2017 21:15,30.8878,16.9,0,0,0,29.9916,0,15.42,31.7558,0,16.06,30.0186
0,6,9,2017,21:30,6/9/2017 21:30,0,16.67,30.8027,0,0,0,6/9/2017 21:30,30.8471,16.94,0,0,0,28.6569,0,15.25,31.7825,0,16.07,29.6246
0,6,9,2017,21:45,6/9/2017 21:45,0,16.65,30.7903,0,0,0,6/9/2017 21:45,30.8195,17.01,0,0,0,28.8385,0,15.22,31.8288,0,16.1,29.7128
0,6,9,2017,22:00,6/9/2017 22:00,0,16.66,30.8048,0,0,0,6/9/2017 22:00,30.7764,17.07,0,0,0,28.9712,0,15.21,31.8264,0,16.12,29.8148
0,6,9,2017,22:15,6/9/2017 22:15,0,16.67,30.786,0,0,0,6/9/2017 22:15,30.767,17.14,0,0,0,29.1173,0,15.21,31.787,0,16.12,29.8825
0,6,9,2017,22:30,6/9/2017 22:30,0,16.7,30.7573,0,0,0,6/9/2017 22:30,30.7497,17.18,0,0,0,29.2249,0,15.21,31.7333,0,16.11,29.9693
0,6,9,2017,22:45,6/9/2017 22:45,0,16.69,30.8097,0,0,0,6/9/2017 22:45,30.7223,17.22,0,0,0,29.2676,0,15.19,31.7248,0,16.11,29.9815
