,cage,site,depth,station,week,survivors,av_length,SD,biom,min.do,max.do,mean.do,sd.do,min.temp,max.temp,mean.temp,sd.T,do.dur,temp.dur,mean.sal,sd.sal,ssat,index,fishID,Survival1,Fish,fishlength,n,death.week,event,event2,start,end
1,CPD1,CP,deep,CPD,2,10,46.2,7.93473377,2074.638728,1.43,12.41,7.816724739,2.203771599,12.31,22.18,17.04509872,2.4604056,165,0,31.57738178,0.819015851,3570,CPD1_2_X1,CPD1_X1,1,X1,29,12,12,3,0,1,2
2,CPD1,CP,deep,CPD,3,10,49.7,8.462269199,2705.158518,0.2,10.96,7.302018229,2.273786099,17.66,22.81,20.0035026,1.503948076,630,0,29.69405153,0.611320794,2745,CPD1_3_X1,CPD1_X1,1,X1,35,12,12,3,0,2,3
3,CPD1,CP,deep,CPD,4,9,54.33333333,7.51295178,3225.014944,0.01,9.24,3.722961609,2.911718525,16.04,19.97,18.06645338,0.783115221,2955,0,29.95993572,0.244252774,120,CPD1_4_X1,CPD1_X1,0.9,X1,42,12,12,3,0,3,4
4,CPD1,CP,deep,CPD,5,9,59.22222222,9.077172562,4437.548828,4.14,10.92,7.820938586,1.170343783,17.63,24.66,20.71789108,1.744196729,0,0,29.63827549,0.353120938,3345,CPD1_5_X1,CPD1_X1,0.9,X1,40,12,12,3,0,4,5
5,CPD1,CP,deep,CPD,6,8,56.75,7.885905148,3351.049124,2.86,10.09,6.7185625,1.362713513,20.08,24.64,21.80545833,0.923347024,0,0,29.09796879,0.28866877,570,CPD1_6_X1,CPD1_X1,0.8,X1,45,12,12,3,0,5,6
6,CPD1,CP,deep,CPD,7,7,58,9.258200998,3291.01676,1.9,10.94,7.999375,1.705561537,17.34,24.77,20.63483073,1.50042279,15,0,28.20233911,0.781029604,4035,CPD1_7_X1,CPD1_X1,0.7,X1,50,12,12,3,0,6,7
7,CPD1,CP,deep,CPD,8,7,63.57142857,9.271417565,4454.297058,5.22,11.87,8.382569444,1.048005474,20.33,25.69,23.02897569,1.499195202,0,0,29.07920656,0.581248275,4230,CPD1_8_X1,CPD1_X1,0.7,X1,50,12,12,3,0,7,8
8,CPD1,CP,deep,CPD,9,6,68.33333333,8.768630959,4830.481039,6.621394,9.79875,8.218911973,0.652404389,18.66,25.36,23.61153274,1.113405727,0,0,28.73310941,0.421275006,5160,CPD1_9_X1,CPD1_X1,0.6,X1,59,12,12,3,0,8,9
9,CPD1,CP,deep,CPD,10,6,71,7.371114796,5388.95208,3.94,12.8,7.839814815,1.491007487,20.93,27.49,23.76688657,1.711839803,0,540,28.10731614,0.505437156,4755,CPD1_10_X1,CPD1_X1,0.6,X1,60,12,12,3,0,9,10
10,CPD1,CP,deep,CPD,11,4,68.25,6.339361167,3083.211023,5.64,13.19,7.966388889,1.470237181,23.27,27.86,25.456875,1.225797881,0,585,27.42869314,0.328025189,1350,CPD1_11_X1,CPD1_X1,0.4,X1,58,12,12,3,0,10,11
11,CPD1,CP,deep,CPD,2,10,46.2,7.93473377,2074.638728,1.43,12.41,7.816724739,2.203771599,12.31,22.18,17.04509872,2.4604056,165,0,31.57738178,0.819015851,3570,CPD1_2_X10,CPD1_X10,1,X10,55,4,3,3,0,1,2
12,CPD1,CP,deep,CPD,3,10,49.7,8.462269199,2705.158518,0.2,10.96,7.302018229,2.273786099,17.66,22.81,20.0035026,1.503948076,630,0,29.69405153,0.611320794,2745,CPD1_3_X10,CPD1_X10,1,X10,62,4,3,1,1,2,3
13,CPD1,CP,deep,CPD,2,10,46.2,7.93473377,2074.638728,1.43,12.41,7.816724739,2.203771599,12.31,22.18,17.04509872,2.4604056,165,0,31.57738178,0.819015851,3570,CPD1_2_X2,CPD1_X2,1,X2,37,12,12,3,0,1,2
14,CPD1,CP,deep,CPD,3,10,49.7,8.462269199,2705.158518,0.2,10.96,7.302018229,2.273786099,17.66,22.81,20.0035026,1.503948076,630,0,29.69405153,0.611320794,2745,CPD1_3_X2,CPD1_X2,1,X2,38,12,12,3,0,2,3
15,CPD1,CP,deep,CPD,4,9,54.33333333,7.51295178,3225.014944,0.01,9.24,3.722961609,2.911718525,16.04,19.97,18.06645338,0.783115221,2955,0,29.95993572,0.244252774,120,CPD1_4_X2,CPD1_X2,0.9,X2,49,12,12,3,0,3,4
16,CPD1,CP,deep,CPD,5,9,59.22222222,9.077172562,4437.548828,4.14,10.92,7.820938586,1.170343783,17.63,24.66,20.71789108,1.744196729,0,0,29.63827549,0.353120938,3345,CPD1_5_X2,CPD1_X2,0.9,X2,53,12,12,3,0,4,5
17,CPD1,CP,deep,CPD,6,8,56.75,7.885905148,3351.049124,2.86,10.09,6.7185625,1.362713513,20.08,24.64,21.80545833,0.923347024,0,0,29.09796879,0.28866877,570,CPD1_6_X2,CPD1_X2,0.8,X2,48,12,12,3,0,5,6
18,CPD1,CP,deep,CPD,7,7,58,9.258200998,3291.01676,1.9,10.94,7.999375,1.705561537,17.34,24.77,20.63483073,1.50042279,15,0,28.20233911,0.781029604,4035,CPD1_7_X2,CPD1_X2,0.7,X2,51,12,12,3,0,6,7
19,CPD1,CP,deep,CPD,8,7,63.57142857,9.271417565,4454.297058,5.22,11.87,8.382569444,1.048005474,20.33,25.69,23.02897569,1.499195202,0,0,29.07920656,0.581248275,4230,CPD1_8_X2,CPD1_X2,0.7,X2,59,12,12,3,0,7,8
